Kepler_ID,Teff,kepmag,Log_G
1867815,5882,16.520,4.364
1868018,5766,13.164,4.254
1868389,5637,16.791,4.269
1868568,5710,16.215,4.514
1868604,5898,15.967,4.208
1868781,5883,16.467,4.280
1868983,5691,15.285,4.286
1869134,5709,16.901,4.317
1869253,5900,16.147,4.248
1869335,5923,16.985,4.300
1869455,5797,15.743,4.485
1869472,5728,16.367,4.255
1869510,5668,13.391,4.322
1869645,5889,16.818,4.382
1869712,5715,16.809,4.432
1869760,5904,16.187,4.443
1869787,5861,16.890,4.280
1869821,5703,16.912,4.335
1869993,5860,15.230,4.335
1870036,5865,16.913,4.392
1870055,5760,15.641,4.407
1870118,5809,15.779,4.355
1870143,5711,16.735,4.248
1870162,5673,15.019,4.369
1870234,5714,14.418,4.384
1870236,5648,16.141,4.552
1870330,5793,15.318,4.264
1870341,5682,16.734,4.283
1870379,5873,16.157,4.506
1870380,5644,16.741,4.486
1870382,5676,16.845,4.315
1870398,5928,14.756,4.409
1870424,5648,15.077,4.539
1870521,5868,15.450,4.405
1870576,5849,16.406,4.560
1870688,5662,16.694,4.470
1870739,5911,16.012,4.453
1870846,5916,15.763,4.355
1870861,5785,16.811,4.432
1870955,5771,15.338,4.264
1870957,5765,14.148,4.332
1870985,5719,16.495,4.410
1871043,5770,14.101,4.231
1871050,5645,15.113,4.319
1871202,5709,16.933,4.220
1871262,5776,16.427,4.710
1871282,5700,16.156,4.503
1871360,5831,15.075,4.481
1871382,5811,15.934,4.323
1871438,5721,12.950,4.307
1871445,5719,15.532,4.391
1871491,5840,16.823,4.429
1871519,5919,16.761,4.292
1871528,5823,16.493,4.412
1871529,5873,16.084,4.326
1871590,5643,16.236,4.492
1871759,5886,14.022,4.463
1871762,5745,16.877,4.251
1871811,5784,15.156,4.271
1871839,5692,15.537,4.351
1871840,5832,16.372,4.369
1871867,5699,16.710,4.623
1871912,5694,16.052,4.713
1871933,5719,16.874,4.335
1871938,5701,16.412,4.460
1871968,5727,16.816,4.664
1871973,5776,15.727,4.322
1872000,5868,16.673,4.309
1872052,5835,14.181,4.221
1872137,5690,16.002,4.626
1872155,5740,14.372,4.217
1872188,5757,16.759,4.711
1872189,5797,14.690,4.511
1872241,5738,16.990,4.598
1872274,5704,16.061,4.482
1872312,5703,16.238,4.360
1872347,5743,15.755,4.698
1872408,5838,15.439,4.260
1872499,5684,13.882,4.688
1872532,5873,16.696,4.452
1872582,5823,16.503,4.681
1872657,5711,16.690,4.474
1872666,5654,15.592,4.530
1872788,5884,16.716,4.487
1872859,5804,16.320,4.235
1872863,5730,16.614,4.275
1872866,5691,16.687,4.629
1872909,5740,14.957,4.543
1872949,5761,14.983,4.281
1872968,5764,16.928,4.497
1872974,5716,14.524,4.417
1872978,5864,16.010,4.655
1873038,5822,16.149,4.292
1873051,5748,15.910,4.244
1873086,5840,14.815,4.311
1873139,5856,16.877,4.377
1873163,5804,15.721,4.254
1873259,5652,14.202,4.268
1873264,5879,16.429,4.490
1873293,5685,16.501,4.502
1873305,5884,16.439,4.315
1873346,5797,16.871,4.324
1873351,5685,14.502,4.302
1873360,5690,16.640,4.342
1873364,5685,15.696,4.284
1873400,5695,16.615,4.531
1873668,5663,16.239,4.376
1873734,5893,16.864,4.383
1873735,5666,16.437,4.327
1873757,5817,15.403,4.449
1873779,5860,14.783,4.363
1873823,5926,12.733,4.376
1873827,5793,14.435,4.289
1873829,5860,16.947,4.313
1873840,5869,14.639,4.304
1873900,5678,16.874,4.420
1873913,5711,16.550,4.417
1873918,5715,13.715,4.403
1873925,5826,15.233,4.680
1873987,5731,14.079,4.339
1874051,5844,16.852,4.397
1874101,5717,14.469,4.434
1874146,5711,16.537,4.474
1874214,5851,16.665,4.496
1874226,5696,16.008,4.343
1874307,5739,16.380,4.375
1874324,5783,16.603,4.206
1874333,5650,14.996,4.519
1874334,5747,16.864,4.370
1874384,5669,15.396,4.501
1874695,5904,14.772,4.222
1995096,5922,16.786,4.367
1995130,5707,14.349,4.451
1995169,5852,16.698,4.326
1995218,5669,16.453,4.406
1995323,5883,15.341,4.531
1995340,5815,14.556,4.553
1995360,5751,14.360,4.570
1995362,5914,14.696,4.353
1995385,5658,16.984,4.349
1995443,5887,13.495,4.385
1995463,5919,16.817,4.342
1995468,5758,16.483,4.477
1995534,5648,16.942,4.430
1995608,5717,16.033,4.563
1995622,5675,13.517,4.223
1995647,5779,16.706,4.341
1995656,5704,15.850,4.645
1995712,5849,14.936,4.406
1995748,5759,16.053,4.600
1995786,5720,16.276,4.296
1995787,5884,14.314,4.446
1995845,5637,14.815,4.531
1995866,5767,16.724,4.407
1995964,5737,16.852,4.308
1995998,5833,15.796,4.324
1996009,5728,16.715,4.375
1996040,5701,16.970,4.338
1996075,5719,16.307,4.329
1996187,5657,16.370,4.478
1996240,5650,14.656,4.478
1996345,5647,16.806,4.440
1996349,5877,16.078,4.202
1996420,5812,16.975,4.346
1996492,5760,14.952,4.389
1996558,5852,16.728,4.605
1996597,5675,16.400,4.586
1996629,5875,15.883,4.507
1996641,5670,16.214,4.391
1996679,5914,13.884,4.334
